;D;Drel;D_SHI;D_AccHI;D_DecHI;D_MPHI;AMP;%ED;D_S6;D_A8;D_A1;%Tempo Recupero;D_MP5;T;%D_A1;%D_A8;%D_AccHI;%D_DecHI;%D_MPHI;%D_SHI;ND_A1;NU_A8;NU_AccHI;ND_DecHI;NU_S6;ND_DecHI;D_S4;%AI;SMax (kmh);
Team Average;5484;119;452;303;285;1532;10,77;17,41;80,29;93,73;122,59;33,23;157,92;00:46:15;2,24;1,71;5,53;5,2;27,94;8,24;38;14;92;97;1;97;586,32;43,76;29,42;
LELLA ;5484;119;452;303;285;1532;10,77;17,41;80,29;93,73;122,59;33,23;157,92;00:46:15;2,24;1,71;5,53;5,2;27,94;8,24;38;14;92;97;1;97;586,32;43,76;29,42;
